reward,training_time,waiting_time,avg_queue_length
-1307,3080.973025,15301,4.250277777777778
-1299,3087.135826,14679,4.0775
-1344,3093.190308,14665,4.073611111111111
-1436,3098.954171,15187,4.2186111111111115
-1248,3105.354019,16189,4.496944444444445
-1354,3111.20201,13527,3.7575
-1215,3117.0293,15265,4.240277777777778
-1399,3123.2341,13541,3.761388888888889
-1355,3129.290285,15903,4.4175
-1426,3135.074248,15143,4.206388888888889
-1363,3140.949523,16037,4.454722222222222
-1343,3146.723332,15605,4.334722222222222
-1464,3152.488795,14929,4.146944444444444
-1334,3158.193894,16688,4.635555555555555
-1383,3163.922155,15041,4.178055555555556
-1352,3170.211301,15412,4.2811111111111115
-1283,3176.39138,15377,4.271388888888889
-1295,3182.37349,14566,4.046111111111111
-1364,3188.405743,14523,4.034166666666667
-1337,3194.305568,15293,4.248055555555555
-1236,3200.158771,15096,4.193333333333333
-1354,3206.161224,13800,3.8333333333333335
-1362,3212.226097,15075,4.1875
-1316,3218.929124,15432,4.286666666666667
-1348,3224.834546,14801,4.1113888888888885
-1508,3230.768486,15016,4.171111111111111
-1404,3236.912475,17133,4.759166666666666
-1394,3243.099681,15840,4.4
-1506,3249.499954,15970,4.436111111111111
-1299,3255.169076,17244,4.79
-1331,3260.967905,14680,4.0777777777777775
-1376,3266.862847,14769,4.1025
-1376,3272.753829,15597,4.3325
-1382,3278.538751,15460,4.294444444444444
-1381,3284.339046,15643,4.345277777777778
-1341,3290.099457,15506,4.307222222222222
-1303,3295.904981,15209,4.224722222222222
-1339,3301.743607,14416,4.004444444444444
-1315,3307.451132,14839,4.121944444444445
-1397,3313.268926,14900,4.138888888888889
-1224,3318.983168,15818,4.393888888888889
-1473,3324.919741,13731,3.8141666666666665
-1372,3330.814836,16547,4.596388888888889
-1375,3336.573681,15505,4.3069444444444445
-1439,3342.417679,15490,4.302777777777778
-1401,3348.642981,16177,4.493611111111111
-1460,3354.585492,15860,4.405555555555556
-1246,3360.344572,16376,4.5488888888888885
-1270,3366.087149,13880,3.8555555555555556
-1401,3371.953387,14115,3.9208333333333334
-1372,3377.786999,15963,4.434166666666667
-1355,3383.621201,15251,4.2363888888888885
-1473,3389.450403,15393,4.275833333333333
-1301,3395.278754,16657,4.626944444444445
-1290,3401.075646,14847,4.1241666666666665
-1332,3406.800338,14432,4.0088888888888885
-1322,3413.002724,15038,4.177222222222222
-1330,3418.764999,14853,4.1258333333333335
-1407,3424.625857,14816,4.115555555555556
-1327,3430.561625,15901,4.416944444444445
-1401,3436.560178,14906,4.140555555555555
-1438,3442.620842,15891,4.414166666666667
-1276,3448.614261,16190,4.497222222222222
-1401,3454.56568,14462,4.017222222222222
-1291,3461.028856,15663,4.350833333333333
-1406,3467.055095,14438,4.010555555555555
-1300,3473.701371,15956,4.432222222222222
-1209,3479.922779,14891,4.136388888888889
-1293,3486.15109,13662,3.795
-1365,3492.700823,14529,4.035833333333334
-1378,3498.94497,15336,4.26
-1231,3505.425752,15631,4.341944444444445
-1330,3511.691867,13958,3.877222222222222
-1330,3517.985285,14864,4.128888888888889
-1307,3524.218196,14974,4.1594444444444445
-1324,3530.234257,14712,4.086666666666667
-1341,3536.276362,14937,4.149166666666667
-1293,3542.035687,14976,4.16
-1331,3547.76645,14532,4.036666666666667
-1429,3553.638375,14993,4.164722222222222
-1389,3559.411116,15940,4.427777777777778
-1399,3565.160888,15564,4.323333333333333
-1267,3570.929745,15860,4.405555555555556
-1361,3576.641497,14268,3.9633333333333334
-1318,3582.33561,15338,4.260555555555555
-1369,3588.236231,14949,4.1525
-1396,3593.991893,15399,4.2775
